Sample	Unique Reads	Duplicate Reads
HBRRep1_1	67958.0	50613.0
HBRRep1_2	66922.0	51649.0
HBRRep2_1	80597.0	64229.0
HBRRep2_2	79372.0	65454.0
HBRRep3_1	73551.0	56235.0
HBRRep3_2	72606.0	57180.0
UHRRep1_1	126125.0	101267.0
UHRRep1_2	124479.0	102913.0
UHRRep2_1	86416.0	75957.0
UHRRep2_2	85401.0	76972.0
UHRRep3_1	90009.0	95433.0
UHRRep3_2	87677.0	97765.0
