Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
HBRRep1_1	0.37445918479223417	6.932555177910282
HBRRep1_2	0.44867632051682116	4.178087390677316
HBRRep2_1	0.390123320398271	7.585654509549391
HBRRep2_2	0.49991023711212074	4.877577230607764
HBRRep3_1	0.34287211255451283	7.141756429815234
HBRRep3_2	0.4237745211347911	4.515895397038201
UHRRep1_1	0.27221714044469464	2.9407367013791164
UHRRep1_2	0.35665282859555303	1.8716577540106951
UHRRep2_1	0.5222543156805626	6.651967999605845
UHRRep2_2	0.42002056992233927	3.5898825543655657
UHRRep3_1	0.5317026347860787	6.125365343341853
UHRRep3_2	0.38071202855879466	3.5763203589262407
