## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT UHRRep2.sorted.bam --OUTPUT UHRRep2.markdup.sorted.bam --METRICS_FILE UHRRep2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE chr22_with_ERCC92.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 17 11:55:23 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4	161514	11616	0	0	28811	3	0.178379	397142

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000015	119429	0	119431
2.0	1.665875	8027	3	8026
3.0	2.109238	2375	0	2374
4.0	2.404451	1080	0	1080
5.0	2.601019	605	0	605
6.0	2.731903	328	0	328
7.0	2.819053	207	0	207
8.0	2.877081	150	0	150
9.0	2.91572	108	0	108
10.0	2.941447	81	0	81
11.0	2.958578	52	0	52
12.0	2.969984	61	0	61
13.0	2.977579	31	0	31
14.0	2.982636	35	0	35
15.0	2.986003	15	0	15
16.0	2.988245	28	0	28
17.0	2.989738	12	0	12
18.0	2.990732	13	0	13
19.0	2.991394	7	0	7
20.0	2.991835	10	0	10
21.0	2.992128	5	0	5
22.0	2.992324	6	0	6
23.0	2.992454	6	0	6
24.0	2.99254	5	0	5
25.0	2.992598	2	0	2
26.0	2.992637	5	0	5
27.0	2.992662	2	0	2
28.0	2.992679	0	0	0
29.0	2.99269	3	0	3
30.0	2.992698	0	0	0
31.0	2.992703	1	0	1
32.0	2.992706	1	0	1
33.0	2.992709	2	0	2
34.0	2.99271	1	0	1
35.0	2.992711	3	0	3
36.0	2.992712	1	0	1
37.0	2.992712	0	0	0
38.0	2.992712	0	0	0
39.0	2.992713	0	0	0
40.0	2.992713	0	0	0
41.0	2.992713	0	0	0
42.0	2.992713	0	0	0
43.0	2.992713	0	0	0
44.0	2.992713	0	0	0
45.0	2.992713	0	0	0
46.0	2.992713	1	0	1
47.0	2.992713	0	0	0
48.0	2.992713	0	0	0
49.0	2.992713	0	0	0
50.0	2.992713	1	0	1
51.0	2.992713	0	0	0
52.0	2.992713	1	0	1
53.0	2.992713	0	0	0
54.0	2.992713	0	0	0
55.0	2.992713	0	0	0
56.0	2.992713	0	0	0
57.0	2.992713	0	0	0
58.0	2.992713	0	0	0
59.0	2.992713	0	0	0
60.0	2.992713	0	0	0
61.0	2.992713	0	0	0
62.0	2.992713	0	0	0
63.0	2.992713	0	0	0
64.0	2.992713	0	0	0
65.0	2.992713	0	0	0
66.0	2.992713	0	0	0
67.0	2.992713	0	0	0
68.0	2.992713	0	0	0
69.0	2.992713	0	0	0
70.0	2.992713	0	0	0
71.0	2.992713	0	0	0
72.0	2.992713	1	0	1
73.0	2.992713	0	0	0
74.0	2.992713	0	0	0
75.0	2.992713	0	0	0
76.0	2.992713	1	0	1
77.0	2.992713	0	0	0
78.0	2.992713	0	0	0
79.0	2.992713	0	0	0
80.0	2.992713	0	0	0
81.0	2.992713	0	0	0
82.0	2.992713	0	0	0
83.0	2.992713	0	0	0
84.0	2.992713	0	0	0
85.0	2.992713	0	0	0
86.0	2.992713	0	0	0
87.0	2.992713	0	0	0
88.0	2.992713	0	0	0
89.0	2.992713	0	0	0
90.0	2.992713	0	0	0
91.0	2.992713	0	0	0
92.0	2.992713	0	0	0
93.0	2.992713	0	0	0
94.0	2.992713	0	0	0
95.0	2.992713	0	0	0
96.0	2.992713	0	0	0
97.0	2.992713	0	0	0
98.0	2.992713	0	0	0
99.0	2.992713	0	0	0
100.0	2.992713	0	0	0
105.0	0	1	0	1

