## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT UHRRep1.sorted.bam --OUTPUT UHRRep1.markdup.sorted.bam --METRICS_FILE UHRRep1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE chr22_with_ERCC92.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 17 11:55:28 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	226616	17216	0	1	47865	2	0.211218	457921

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000007	156015	0	156016
2.0	1.609655	14195	2	14194
3.0	1.981323	3940	0	3940
4.0	2.207909	1724	0	1724
5.0	2.346045	926	0	927
6.0	2.430259	514	0	513
7.0	2.4816	385	0	385
8.0	2.512899	255	0	255
9.0	2.531981	155	0	155
10.0	2.543614	132	0	132
11.0	2.550706	101	0	101
12.0	2.555029	75	0	75
13.0	2.557665	52	0	52
14.0	2.559272	53	0	53
15.0	2.560251	38	0	38
16.0	2.560849	33	0	33
17.0	2.561213	20	0	20
18.0	2.561435	23	0	23
19.0	2.56157	18	0	18
20.0	2.561653	7	0	7
21.0	2.561703	10	0	10
22.0	2.561734	13	0	13
23.0	2.561752	9	0	9
24.0	2.561764	9	0	9
25.0	2.561771	6	0	6
26.0	2.561775	7	0	7
27.0	2.561777	4	0	4
28.0	2.561779	3	0	3
29.0	2.56178	1	0	1
30.0	2.561781	3	0	3
31.0	2.561781	2	0	2
32.0	2.561781	5	0	5
33.0	2.561781	1	0	1
34.0	2.561781	1	0	1
35.0	2.561781	1	0	1
36.0	2.561781	1	0	1
37.0	2.561781	2	0	2
38.0	2.561781	2	0	2
39.0	2.561781	0	0	0
40.0	2.561781	3	0	3
41.0	2.561781	3	0	3
42.0	2.561781	1	0	1
43.0	2.561781	0	0	0
44.0	2.561781	0	0	0
45.0	2.561781	0	0	0
46.0	2.561781	0	0	0
47.0	2.561781	0	0	0
48.0	2.561781	0	0	0
49.0	2.561781	0	0	0
50.0	2.561781	1	0	1
51.0	2.561781	0	0	0
52.0	2.561781	0	0	0
53.0	2.561781	0	0	0
54.0	2.561781	0	0	0
55.0	2.561781	0	0	0
56.0	2.561781	0	0	0
57.0	2.561781	0	0	0
58.0	2.561781	0	0	0
59.0	2.561781	0	0	0
60.0	2.561781	0	0	0
61.0	2.561781	0	0	0
62.0	2.561781	0	0	0
63.0	2.561781	0	0	0
64.0	2.561781	0	0	0
65.0	2.561781	0	0	0
66.0	2.561781	0	0	0
67.0	2.561781	0	0	0
68.0	2.561781	0	0	0
69.0	2.561781	0	0	0
70.0	2.561781	0	0	0
71.0	2.561781	0	0	0
72.0	2.561781	0	0	0
73.0	2.561781	0	0	0
74.0	2.561781	0	0	0
75.0	2.561781	1	0	1
76.0	2.561781	0	0	0
77.0	2.561781	0	0	0
78.0	2.561781	0	0	0
79.0	2.561781	0	0	0
80.0	2.561781	0	0	0
81.0	2.561781	0	0	0
82.0	2.561781	0	0	0
83.0	2.561781	0	0	0
84.0	2.561781	0	0	0
85.0	2.561781	0	0	0
86.0	2.561781	1	0	1
87.0	2.561781	0	0	0
88.0	2.561781	0	0	0
89.0	2.561781	0	0	0
90.0	2.561781	0	0	0
91.0	2.561781	0	0	0
92.0	2.561781	0	0	0
93.0	2.561781	0	0	0
94.0	2.561781	0	0	0
95.0	2.561781	0	0	0
96.0	2.561781	0	0	0
97.0	2.561781	0	0	0
98.0	2.561781	0	0	0
99.0	2.561781	0	0	0
100.0	2.561781	0	0	0

