Sample	Unique Reads	Duplicate Reads
HBRRep1_1	68170	50278
HBRRep1_2	67258	51190
HBRRep2_1	80910	63750
HBRRep2_2	79849	64811
HBRRep3_1	73812	55818
HBRRep3_2	73016	56614
UHRRep1_1	126924	100046
UHRRep1_2	127487	99483
UHRRep2_1	86939	75067
UHRRep2_2	86603	75403
UHRRep3_1	90701	94445
UHRRep3_2	89274	95872
