#Transcript position	Transcript coverage profile
0.0	75.88000300919603
1.0	103.9093501269691
2.0	133.80856308380768
3.0	162.49216084749733
4.0	193.4002673067827
5.0	214.80023272028384
6.0	240.59941992864637
7.0	266.1359054504407
8.0	289.2595014299501
9.0	299.6535128622633
10.0	304.5578912415204
11.0	313.407507828485
12.0	322.43227144610364
13.0	332.91153378434217
14.0	340.09130639335456
15.0	348.9791087467757
16.0	354.1710833990402
17.0	354.9472610764569
18.0	353.3003458463351
19.0	349.6070147984936
20.0	349.59463104283907
21.0	348.79440897117144
22.0	350.3636179883862
23.0	353.9742111042733
24.0	361.4036367056869
25.0	353.4892406153989
26.0	352.14840444953467
27.0	344.8817166030839
28.0	335.68949806925747
29.0	335.0803301593364
30.0	332.3989669098397
31.0	337.30104753988536
32.0	342.0664718463748
33.0	341.21006097863295
34.0	344.9003796094336
35.0	355.63766901294235
36.0	363.1582033856465
37.0	370.66572239684757
38.0	381.68780038230767
39.0	376.3072987672643
40.0	369.99829170659143
41.0	376.20141577837353
42.0	369.68893666556755
43.0	366.4676127342262
44.0	360.1269119573112
45.0	356.427218405834
46.0	356.7356192376463
47.0	358.4981127223005
48.0	345.2026128258678
49.0	342.77283989636146
50.0	340.66021066398366
51.0	332.76553662416075
52.0	331.91354263279663
53.0	335.8289909508428
54.0	326.5573355685899
55.0	314.40921742150783
56.0	311.34021989640036
57.0	309.0238308838467
58.0	308.33122786719343
59.0	307.12730842417756
60.0	310.26408721333473
61.0	307.4366797833473
62.0	299.6587793523963
63.0	296.17557495423546
64.0	302.8698037203067
65.0	310.2752029666379
66.0	307.54342741903645
67.0	303.6905852013665
68.0	300.5495547846823
69.0	294.0790513617181
70.0	288.64361806772104
71.0	288.969494533141
72.0	287.8658280022662
73.0	287.3230752711918
74.0	286.7769568648608
75.0	282.45227522615374
76.0	276.9985145340742
77.0	269.14904257102563
78.0	263.31788583817945
79.0	258.1491952187765
80.0	249.57716722998993
81.0	227.077874637202
82.0	213.0767735896508
83.0	202.95529327164533
84.0	197.79594912005973
85.0	197.24319115433684
86.0	190.82982043811157
87.0	181.88681329103932
88.0	170.00518775690983
89.0	154.44635577102324
90.0	142.4648722723144
91.0	132.75889585889215
92.0	115.50910633933705
93.0	96.86777275190587
94.0	79.78629113679008
95.0	67.58616827274119
96.0	52.6426670117338
97.0	39.58991578196593
98.0	24.61951002470828
99.0	7.916604494243375
