#Transcript position	Transcript coverage profile
0.0	240.70520653021194
1.0	291.0655151731271
2.0	346.1564975773749
3.0	396.9913498813701
4.0	450.917958313864
5.0	487.3322438634858
6.0	531.3083740062182
7.0	569.3961109419936
8.0	610.4895929361085
9.0	633.2367586476038
10.0	644.6383174693012
11.0	652.459572297144
12.0	682.3393195102333
13.0	709.4441279092953
14.0	725.0736025505519
15.0	744.5804643662577
16.0	756.9822070759066
17.0	756.8036996325217
18.0	775.754957583174
19.0	774.920915910307
20.0	784.206024652447
21.0	782.265357869879
22.0	778.7682824622206
23.0	778.3897699237018
24.0	786.9516652059641
25.0	776.8288334021429
26.0	774.5419767691171
27.0	764.2085466403099
28.0	757.341644731288
29.0	761.8691009372822
30.0	767.2660797969795
31.0	770.2192642800159
32.0	766.6425223678397
33.0	774.4464264162103
34.0	776.659275576825
35.0	784.8974577204658
36.0	794.2437460102692
37.0	803.469053437344
38.0	811.9989820992113
39.0	805.6591437157172
40.0	794.7595066671496
41.0	800.1959171155727
42.0	786.8421406217726
43.0	784.5527960060911
44.0	777.8517929160586
45.0	777.2453953466467
46.0	772.8295943064098
47.0	778.8644308234989
48.0	772.460837333262
49.0	775.4499414013477
50.0	775.799030059058
51.0	770.4966036689482
52.0	775.2805492752741
53.0	776.5626599531138
54.0	769.8478997787183
55.0	753.1899906474144
56.0	745.7475298521788
57.0	737.3235301160889
58.0	736.6294113275194
59.0	736.1168435058867
60.0	733.393371270587
61.0	731.7890647245715
62.0	719.814545862701
63.0	715.987287034983
64.0	719.6355762909869
65.0	727.5338680305297
66.0	726.8315908609858
67.0	725.9851401879704
68.0	726.1465513894401
69.0	716.9622581533673
70.0	711.6257085610567
71.0	719.2788259890544
72.0	722.7912198401148
73.0	718.1650222545198
74.0	714.0878575052644
75.0	708.8581225405251
76.0	709.2234073497291
77.0	697.4956309168548
78.0	686.6135984831535
79.0	675.5584856402115
80.0	656.3103450670012
81.0	628.9478473661176
82.0	604.2002191283408
83.0	577.7673474337003
84.0	563.0495467890622
85.0	566.904870422997
86.0	558.0195149816253
87.0	531.7613391828204
88.0	501.74909404651027
89.0	457.58943091443587
90.0	413.5992051442429
91.0	374.81358284830003
92.0	327.56666737634947
93.0	280.54605515169817
94.0	237.0848846582627
95.0	204.67062551801413
96.0	155.4076794616766
97.0	117.03432541717105
98.0	72.31707758234454
99.0	24.108000980056943
