#Transcript position	Transcript coverage profile
0.0	108.7157196774689
1.0	134.9638744418388
2.0	162.04856199999554
3.0	187.6309794377944
4.0	214.57500631669973
5.0	233.37426038959075
6.0	256.5166013345181
7.0	276.91893834208963
8.0	298.74590164601676
9.0	308.7426882560959
10.0	313.07677730080104
11.0	321.5249215276566
12.0	330.02104350727444
13.0	339.99634331732176
14.0	345.8879221050066
15.0	354.6538084210506
16.0	360.67783871742995
17.0	362.18886365723466
18.0	363.01740502609636
19.0	362.00472216623524
20.0	361.29035673565636
21.0	361.03494632928175
22.0	364.51432930588055
23.0	367.60740027911385
24.0	371.81725126798665
25.0	366.4145460612741
26.0	364.7739832999473
27.0	357.8806779868002
28.0	349.68426233385765
29.0	347.8540237741374
30.0	344.1269637646743
31.0	349.05190133445876
32.0	350.92902534898786
33.0	351.00074808340344
34.0	353.97700639220005
35.0	361.42178760112654
36.0	367.75134106023677
37.0	375.18889392765533
38.0	384.3332792577612
39.0	380.5984861896279
40.0	377.0979295166917
41.0	382.56309962307074
42.0	377.42180362480065
43.0	375.9959991599054
44.0	370.87982344573123
45.0	366.13861989820197
46.0	365.32521207470575
47.0	367.511157799901
48.0	358.4755948285067
49.0	359.97330289935087
50.0	359.3041173460228
51.0	353.19758394472876
52.0	352.0769857450736
53.0	354.4036947644728
54.0	347.7581985505126
55.0	337.60381982648755
56.0	335.55640163148615
57.0	333.5398705844798
58.0	333.36045712074065
59.0	335.10917402695065
60.0	337.4370670209565
61.0	334.90949796857615
62.0	330.4992969819703
63.0	330.9655198963204
64.0	338.3505162728762
65.0	347.7123013957097
66.0	344.963906363951
67.0	341.62600296381754
68.0	341.28307597698364
69.0	334.49118341658414
70.0	330.3671242643388
71.0	329.6968381516714
72.0	329.7279587974194
73.0	329.25365240632607
74.0	327.3803222316678
75.0	322.8120339838812
76.0	318.49633001023113
77.0	311.25765300175624
78.0	307.1141050053801
79.0	302.2563006111126
80.0	292.90762715301844
81.0	271.54815541942685
82.0	258.50273615021615
83.0	249.48963448233815
84.0	245.16679405374222
85.0	243.43328554581225
86.0	237.31446028866665
87.0	228.98905551848972
88.0	217.6358269969672
89.0	201.87157917265884
90.0	187.45875818539741
91.0	176.08611190735598
92.0	157.40479697192512
93.0	137.4219622240819
94.0	117.68602841466713
95.0	101.96904732474927
96.0	82.14068531129026
97.0	61.21381712461462
98.0	37.853153961816325
99.0	11.393383771930289
