#Transcript position	Transcript coverage profile
0.0	0.7242567010189417
1.0	0.792613011600061
2.0	0.8465750196041261
3.0	0.8943255299541908
4.0	0.9245120522210489
5.0	0.9743578349625663
6.0	1.047597930984685
7.0	1.053233326939476
8.0	1.0609252729671492
9.0	1.0686498928313903
10.0	1.1068456190254234
11.0	1.1063903752701203
12.0	1.1517286038178745
13.0	1.0988086282972487
14.0	1.0843002588300275
15.0	1.1028036621479846
16.0	1.105124970668619
17.0	0.9816252018486066
18.0	1.010791139413257
19.0	1.0564156709974721
20.0	1.0924916181943094
21.0	1.117412701877727
22.0	1.1545337697981246
23.0	1.2365410892801396
24.0	1.3003337869771627
25.0	1.3049143594546597
26.0	1.2721485199679081
27.0	1.2150888371774444
28.0	1.154572389669931
29.0	1.1338902766759038
30.0	1.065820238148175
31.0	1.0941936771229395
32.0	1.1145690571225249
33.0	1.0419251259482087
34.0	0.9944094004985264
35.0	0.9914507306507635
36.0	0.9824858322816156
37.0	1.0275702600215548
38.0	1.0921613640564358
39.0	1.1037659962560773
40.0	1.0885773790679016
41.0	1.174655200110792
42.0	1.1612908585821615
43.0	1.1784741567006711
44.0	1.1560709565160223
45.0	1.208555307329565
46.0	1.1624162501421724
47.0	1.2132339371624505
48.0	1.3339618853234034
49.0	1.2046514681914808
50.0	1.3001733470136887
51.0	1.340452561346576
52.0	1.1725377803998482
53.0	1.0457974795946834
54.0	1.1128918231801055
55.0	1.0226981591872342
56.0	0.972424819860537
57.0	1.0020416004201451
58.0	1.025516670428436
59.0	1.0038333114013656
60.0	0.9981777491674866
61.0	1.0210743203526171
62.0	1.0987462361829923
63.0	1.1998788795198279
64.0	1.2453475344276428
65.0	1.2490877262089823
66.0	1.293148349467853
67.0	1.305463836051257
68.0	1.3156081813426852
69.0	1.3028952145830093
70.0	1.3070452720287264
71.0	1.4011264032193484
72.0	1.3518041945990655
73.0	1.3447304050979978
74.0	1.227437937273685
75.0	1.080566772742063
76.0	1.0231604068821143
77.0	1.0925090035536733
78.0	1.098413740788058
79.0	1.116739072102944
80.0	1.2457879618189311
81.0	1.2627207902929112
82.0	1.1670041342095632
83.0	1.1348729327755238
84.0	1.1552066564470487
85.0	1.1647380746043854
86.0	1.217000965571242
87.0	1.1138515808193292
88.0	1.012300970019827
89.0	1.0158288601026237
90.0	1.0681208604258188
91.0	0.9875075419123783
92.0	0.8354136301512783
93.0	0.8965201702625598
94.0	0.8439409068650909
95.0	0.6883167555484955
96.0	0.46380686470064214
97.0	0.24840323351758936
98.0	0.0912020807632389
99.0	0.01777423558069699
