#Transcript position	Transcript coverage profile
0.0	64.95522506031664
1.0	88.54446522045708
2.0	112.97618681583752
3.0	135.61735405047986
4.0	160.34861000577095
5.0	176.35208263169116
6.0	197.62161016716104
7.0	217.06269929759046
8.0	236.58554582742966
9.0	244.78871559551732
10.0	247.42171917657208
11.0	255.14747440606288
12.0	263.3979900885966
13.0	272.5905869937131
14.0	278.1737263149263
15.0	285.4727345927852
16.0	289.59053156625185
17.0	290.5071843271328
18.0	290.5383109100474
19.0	289.2326170931967
20.0	288.61417899048973
21.0	287.4160271008936
22.0	289.37665518766147
23.0	291.5464973499447
24.0	295.5690279544927
25.0	289.6797747951204
26.0	287.8213812781365
27.0	281.1780571476414
28.0	272.2870454269476
29.0	270.6963556639788
30.0	267.2581560741834
31.0	272.9146218812767
32.0	275.4113221574374
33.0	274.38951642987695
34.0	276.94692272043136
35.0	284.420502396407
36.0	289.9240734299265
37.0	296.89284685985325
38.0	305.57053603211784
39.0	300.6116377577867
40.0	295.74730825829647
41.0	300.95813414780935
42.0	296.56014212288534
43.0	294.72988532752765
44.0	288.78132016439736
45.0	284.60834690674295
46.0	285.3165014525465
47.0	287.9040719637293
48.0	278.01049553231474
49.0	277.8158508631699
50.0	275.9298174359331
51.0	268.7637541577173
52.0	268.268297270461
53.0	271.307957880931
54.0	265.36682871431367
55.0	256.03636671142954
56.0	254.56038799340618
57.0	252.62103060651907
58.0	251.64649990093403
59.0	251.98075805359125
60.0	254.80257499091033
61.0	252.80672323577372
62.0	248.0738119820391
63.0	247.81681997839186
64.0	254.67783929320169
65.0	263.58899753661456
66.0	260.7030188238503
67.0	257.53088457931665
68.0	257.358420784149
69.0	251.63679502989592
70.0	247.17523608993065
71.0	245.95619551648412
72.0	245.66303597122317
73.0	244.2736949270382
74.0	242.20506657349452
75.0	239.1286869411827
76.0	235.14996458249772
77.0	227.9558968153792
78.0	223.72343314786056
79.0	218.5097308495825
80.0	209.37859225874223
81.0	188.4242393109798
82.0	175.10895163858973
83.0	166.2855034220878
84.0	162.572153858783
85.0	161.52243798632276
86.0	155.57613036447407
87.0	148.33316145116368
88.0	139.27657881179104
89.0	127.18877097615449
90.0	116.05077899265758
91.0	107.59449423436033
92.0	92.67721772997696
93.0	78.1318623575678
94.0	64.90244526057143
95.0	56.68376861127265
96.0	44.94552847403148
97.0	34.0685020253321
98.0	21.166724843443887
99.0	6.8801241041123395
