#Transcript position	Transcript coverage profile
0.0	158.4663275337347
1.0	193.88459640622239
2.0	231.6390917262358
3.0	268.06857635751567
4.0	307.0917637056699
5.0	332.14050226200686
6.0	361.93278874758045
7.0	390.4660136896513
8.0	418.70137941781553
9.0	433.6417586654328
10.0	439.5130052007438
11.0	446.16780431885286
12.0	462.53711988557836
13.0	477.1668760339988
14.0	483.8852615135852
15.0	496.125231253602
16.0	502.82846862683715
17.0	505.07905240047364
18.0	519.0409731557797
19.0	518.2634891842522
20.0	522.7520878169249
21.0	517.9733136532066
22.0	511.1392993225998
23.0	511.3586704094575
24.0	516.6128947448957
25.0	511.04975529015695
26.0	504.7932127770283
27.0	494.49808318331293
28.0	490.5263547636681
29.0	494.9396984931249
30.0	497.6943213812833
31.0	500.6447301177566
32.0	498.5343434000689
33.0	501.0592107714194
34.0	501.4503646013642
35.0	505.6737954306841
36.0	509.9630995639037
37.0	515.8685656604779
38.0	525.249429682054
39.0	522.2980590220485
40.0	515.9014458012656
41.0	522.7221627589128
42.0	514.9206273747682
43.0	513.3873330687711
44.0	510.02224291604205
45.0	507.8236686361822
46.0	506.10265618840845
47.0	505.98173770511477
48.0	499.30072465649476
49.0	502.6578295995621
50.0	499.8177209778486
51.0	492.5135302821084
52.0	495.9360713972295
53.0	499.1831526441712
54.0	491.5915098850889
55.0	481.91003507866924
56.0	478.9718961393297
57.0	473.96088068786565
58.0	471.8469895500729
59.0	472.6702044922432
60.0	474.56904974949884
61.0	476.29721612308657
62.0	473.94695935840383
63.0	475.24340394950366
64.0	480.2626970184878
65.0	498.0349949589506
66.0	496.75033304775013
67.0	497.9877611549912
68.0	499.61161725580945
69.0	490.7230518571999
70.0	485.3321878803845
71.0	488.27474883820645
72.0	490.13878172916316
73.0	485.370375501172
74.0	476.2133750610515
75.0	470.3554719100556
76.0	468.7139784033584
77.0	462.6210985592996
78.0	457.53422791032744
79.0	447.1732120438469
80.0	434.79192995943794
81.0	411.95579424511214
82.0	394.02382548766803
83.0	380.9740048788297
84.0	374.1198648499664
85.0	376.4965371250569
86.0	367.2987206848542
87.0	349.67858384134956
88.0	327.77009418793864
89.0	299.5690531173413
90.0	269.0094908379576
91.0	245.48365166745688
92.0	213.21907598482593
93.0	183.75069325857115
94.0	154.7288759066147
95.0	134.643310403908
96.0	103.49053282919091
97.0	77.10361681081065
98.0	48.08278093255413
99.0	15.895913635767387
